"Date","領先指標綜合指數","領先指標不含趨勢指數","同時指標綜合指數","同時指標不含趨勢指數","落後指標綜合指數","落後指標不含趨勢指數","景氣對策信號綜合分數","景氣對策信號"
199512,26.36660051,89.17525961,28.4592281,96.2517139,30.4418505,102.9571243,16,藍
199601,26.22124429,88.34166635,28.4925763,95.99295921,30.5523153,102.9323262,18,黃藍 
199602,26.26132602,88.13202436,28.55717016,95.83582324,30.60217281,102.6987061,18,黃藍 
199603,26.51437765,88.6308388,28.6730624,95.84585807,30.54751637,102.1116223,13,藍
199604,26.93070736,89.66407132,28.81948278,95.95176149,30.35920939,101.0781367,21,黃藍 
199605,27.45643513,91.04646024,29.00147122,96.16903188,30.06821545,99.70636137,15,藍
199606,28.02316809,92.54774094,29.24383941,96.5782858,29.71881845,98.14691229,17,黃藍 
199607,28.57732128,93.99010645,29.51139702,97.06152538,29.35995378,96.56343605,19,黃藍 
199608,29.09086672,95.2824514,29.81649208,97.65842841,29.01726416,95.04070456,20,黃藍 
199609,29.57878329,96.47556303,30.15532731,98.3553947,28.73390285,93.71923998,24,綠
199610,30.04229045,97.57479379,30.49781236,99.05367862,28.54765572,92.71977551,22,黃藍 
199611,30.49332364,98.62014042,30.83193152,99.71467975,28.50120819,92.17680203,26,綠
199612,30.96854945,99.73062018,31.13379131,100.262232,28.60822751,92.12898985,28,綠
199701,31.48248498,100.9522162,31.37735801,100.6146247,28.84351919,92.48961804,26,綠
199702,32.04147253,102.3040009,31.55178437,100.7400446,29.13301995,93.017298,24,綠
199703,32.57029782,103.5453943,31.67117285,100.6865436,29.3271583,93.23463385,31,綠
199704,32.98282369,104.4053247,31.75046615,100.5039913,29.52328372,93.45399328,24,綠
199705,33.28832245,104.9180722,31.82618043,100.3093574,29.78238037,93.8677339,24,綠
199706,33.51351244,105.172067,31.91626016,100.1592645,30.14370102,94.59663844,28,綠
199707,33.67485814,105.2221502,32.06758555,100.1997059,30.60550122,95.63121665,30,綠
199708,33.75697007,105.0230704,32.26704447,100.3874299,31.18440011,97.01916718,26,綠
199709,33.73274659,104.4940181,32.52743995,100.7601035,31.87568194,98.74115564,31,綠
199710,33.58070642,103.5728537,32.77472474,101.0867549,32.65321083,100.7119708,26,綠
199711,33.33606533,102.3725687,32.95424518,101.1998355,33.45943664,102.7512378,28,綠
199712,33.028752,100.9879871,33.02179224,100.9665364,34.23432569,104.6739458,29,綠
199801,32.66469949,99.43920375,32.9808387,100.4014604,34.88552977,106.1997898,23,綠
199802,32.27447404,97.82062475,32.92812209,99.80164441,35.33254703,107.0892013,27,綠
199803,31.86734736,96.16079326,32.79039998,98.94604604,35.62637542,107.5036897,25,綠
199804,31.45983298,94.50958982,32.6424189,98.06218473,35.77544402,107.4742105,20,黃藍 
199805,31.08332323,92.96063405,32.54751929,97.33958213,35.80577786,107.0840276,19,黃藍 
199806,30.8201813,91.75776741,32.51369211,96.79972059,35.73078542,106.3776465,20,黃藍 
199807,30.73638432,91.09198975,32.56672259,96.51656816,35.58581846,105.4641302,16,藍
199808,30.81664427,90.91115144,32.72224965,96.53296299,35.39345127,104.4131977,22,黃藍 
199809,31.03565511,91.13469339,32.89656211,96.5993685,35.19766257,103.3564531,18,黃藍 
199810,31.36862172,91.68512829,33.05132278,96.60365606,35.02533271,102.3733669,16,藍
199811,31.85810694,92.68250727,33.22614199,96.66278497,34.87374289,101.4560496,19,黃藍 
199812,32.52716878,94.18835107,33.44388061,96.8432845,34.72993279,100.5672996,14,藍
199901,33.35442198,96.13515025,33.73497474,97.23249898,34.56831185,99.63438158,18,黃藍 
199902,34.21675038,98.1650465,34.16521796,98.01779895,34.35604807,98.5652782,17,黃藍 
199903,35.0587547,100.1204289,34.61458888,98.85267134,34.11289734,97.41993587,16,藍
199904,35.81245722,101.8110357,35.00668908,99.5211031,33.90550301,96.39052276,20,黃藍 
199905,36.46961855,103.2192346,35.31447126,99.95072031,33.82270148,95.72855702,22,黃藍 
199906,36.98333099,104.2187663,35.52729982,100.1166489,33.88845146,95.49834111,25,綠
199907,37.3624368,104.8418894,35.67137032,100.097681,34.0712492,95.60756999,24,綠
199908,37.67793363,105.2938212,35.79392614,100.029956,34.36446112,96.03516309,23,綠
199909,37.9957834,105.7622548,35.98688921,100.1716568,34.75571946,96.74462222,19,黃藍 
199910,38.36182445,106.376088,36.39090484,100.912079,35.22846301,97.6886246,26,綠
199911,38.77026696,107.1197071,36.92279206,102.0166139,35.82390398,98.98041773,26,綠
199912,39.18982381,107.9076111,37.52713061,103.3308776,36.48945736,100.4736464,28,綠
200001,39.59879377,108.6817646,38.17589652,104.7780055,37.10645809,101.8428125,32,黃紅
200002,40.07036367,109.6443669,38.83104963,106.2547747,37.6351285,102.9823334,30,綠
200003,40.31882319,110.0157939,39.43551635,107.6071411,37.98762347,103.6562961,29,綠
200004,40.28472322,109.6401534,39.99078173,108.8417625,38.24951141,104.102597,28,綠
200005,40.00148467,108.6139778,40.44500941,109.8198847,38.48980014,104.5109267,29,綠
200006,39.53077763,107.1080291,40.75808072,110.4350183,38.74993139,104.9938885,27,綠
200007,38.93232592,105.2851121,40.89288347,110.5886884,39.08589224,105.7019509,26,綠
200008,38.25592261,103.2789715,40.84350429,110.2662225,39.49757652,106.6325879,28,綠
200009,37.52591074,101.1530729,40.62470573,109.5075928,39.96144199,107.719705,28,綠
200010,36.80816811,99.08173951,40.20812895,108.2353965,40.48707191,108.986277,23,綠
200011,36.17940034,97.26713235,39.63746718,106.5654723,41.00357992,110.2382713,17,黃藍 
200012,35.68492244,95.82603413,39.00289755,104.7372873,41.42412726,111.2391897,16,藍
200101,35.30625153,94.70361451,38.33124635,102.8190001,41.66582645,111.7636138,10,藍
200102,34.94011765,93.61817951,37.65085896,100.8825354,41.70097801,111.734513,10,藍
200103,34.52042283,92.38884956,36.93207986,98.84444178,41.54814745,111.198813,10,藍
200104,34.07498193,91.08681561,36.21642771,96.81224224,41.25272687,110.2750669,9,藍
200105,33.6618493,89.86399629,35.55721159,94.92486207,40.83246964,109.0078883,9,藍
200106,33.34358929,88.88391151,35.00466572,93.31275331,40.29562163,107.4169778,9,藍
200107,33.22341951,88.41760837,34.56758176,91.99567941,39.65221911,105.5275681,9,藍
200108,33.36637018,88.63292213,34.30706651,91.1325316,38.95182141,103.4707556,11,藍
200109,33.794042,89.58099202,34.26685696,90.83505926,38.25090886,101.3960392,9,藍
200110,34.52322505,91.29924145,34.48432274,91.19704909,37.62590246,99.5052534,9,藍
200111,35.48971611,93.61037383,34.86030658,91.95084361,37.11695037,97.90318082,10,藍
200112,36.56168023,96.16041642,35.38958272,93.07831154,36.74737158,96.64943856,15,藍
200201,37.58510974,98.54112282,36.05140641,94.52062433,36.52137032,95.75278937,15,藍
200202,38.4750041,100.5300883,36.81428747,96.19141446,36.38956905,95.08167507,15,藍
200203,39.1686291,101.9667298,37.57620456,97.82174537,36.3400113,94.60357621,20,黃藍 
200204,39.64096362,102.7916453,38.22216976,99.11313147,36.37134661,94.31379958,26,綠
200205,39.87885745,102.9780914,38.69842342,99.93037826,36.48120024,94.20487496,25,綠
200206,39.91454287,102.6174663,38.98423352,100.2261723,36.61664371,94.13923814,25,綠
200207,39.82433647,101.9132424,39.16002742,100.21367,36.77015632,94.09779698,29,綠
200208,39.66066968,101.0048892,39.28914005,100.0591193,36.93435415,94.06209819,24,綠
200209,39.48858125,100.0614583,39.41111128,99.8655418,37.11135569,94.03809034,29,綠
200210,39.32333192,99.12324054,39.54770391,99.68917889,37.30741402,94.04200756,23,綠
200211,39.1723161,98.2099618,39.67769204,99.47733167,37.51681169,94.05971284,26,綠
200212,39.05072157,97.36032523,39.77142067,99.15745161,37.74925409,94.11581917,24,綠
200301,38.94946312,96.55195709,39.80316434,98.66846321,38.00543533,94.21205474,20,黃藍 
200302,38.90418375,95.87319581,39.74562091,97.94701272,38.32468354,94.44532956,22,黃藍 
200303,38.98680436,95.49914194,39.65763703,97.14255608,38.63950268,94.64860584,17,黃藍 
200304,39.27423061,95.61271773,39.63893804,96.50075232,38.90025925,94.70244331,14,藍
200305,39.88947484,96.50371091,39.79110044,96.26584035,39.09151494,94.57334667,14,藍
200306,40.79482243,98.06801021,40.19960292,96.63723439,39.18880698,94.20734659,20,黃藍 
200307,41.86588636,99.99688796,40.8623418,97.59997651,39.22936441,93.69959911,24,綠
200308,42.9423673,101.9043104,41.68681133,98.92484367,39.24593742,93.1325304,26,綠
200309,43.90872762,103.5199725,42.57945528,100.3860526,39.26124308,92.56297869,29,綠
200310,44.69415274,104.6856436,43.46979816,101.8178399,39.32776726,92.11610085,31,綠
200311,45.31087586,105.4406937,44.29583356,103.0785659,39.50003173,91.91850106,30,綠
200312,45.83707818,105.9760247,44.99289052,104.0241403,39.82572444,92.07758602,34,黃紅
